pid,model,price,country_code,country,region,income group,scraped_date
7,Apple TV 4K,199 €,fi,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048
8,Apple Watch SE,Alkaen 309 €,fi,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048
9,Apple Watch Series 3,Alkaen 229 €,fi,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048
10,Urheiluranneke,49 €,fi,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048
11,iPad,Alkaen 399 €,fi,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048
12,iPad Pro,Alkaen 909 €,fi,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048
13,Apple Pencil (2. sukupolvi),135 €,fi,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048
14,24 tuuman iMac²,Alkaen 1 499 €,fi,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048
15,MacBook Air,Alkaen 1 159 €,fi,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048
16,Magic Mouse,85 €,fi,Finland,Europe & Central Asia,High income,2022-01-02 21:52:18.126048
0,iPhone 13,À partir de 809 €,fr,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673
1,iPhone SE,À partir de 489 €,fr,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673
2,iPhone 12,À partir de 689 €,fr,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673
3,AirPods(3ᵉ génération),199 €,fr,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673
4,AirPods Pro,279 €,fr,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673
5,AirPods(2ᵉ génération),149 €,fr,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673
6,AirPods Max,629 €,fr,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673
7,Apple TV 4K,199 €,fr,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673
8,Apple Watch SE,À partir de 299 €,fr,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673
9,Apple Watch Series 3,À partir de 219 €,fr,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673
